Order_ID,CustomerID,BranchID,ShipmentDate,ShipmentTime,Weight,Quantity,DeliveryAddress,TransactionID,TrackingNumber,ShipmentStatus,ShipmentComments
224,716,6,27/10/2022,10:35:49,52,224,14th Floor,159,398-94-7308,shipment confirmed,   
225,172,18,14/12/2022,14:27:57,97,225,Room 701,546,406-23-0668,shipment confirmed,   
226,714,14,11/8/2022,6:33:57,61,226,Room 1156,588,236-05-5297,shipment confirmed,   
227,724,5,31/10/2022,11:10:38,30,227,Suite 29,288,724-96-3820,shipment confirmed,   
228,754,20,1/10/2022,0:36:07,23,228,8th Floor,340,813-50-3198,shipment confirmed,   
229,786,1,13/09/2022,8:57:13,1,229,Suite 63,531,399-21-3951,shipment confirmed,   
230,861,7,22/10/2022,15:06:24,63,230,Suite 37,682,752-87-7620,shipment confirmed,   
231,473,8,27/08/2022,8:16:33,80,231,PO Box 89897,148,652-79-7705,shipment confirmed,   
232,776,17,1/6/2022,17:51:01,16,232,Suite 10,489,847-90-3021,shipment confirmed,   
233,209,15,20/11/2022,12:33:54,44,233,Apt 744,781,350-18-2205,shipment confirmed,   
234,21,16,10/3/2022,4:35:26,70,234,Apt 82,158,308-93-1612,shipment confirmed,   
235,25,12,31/08/2022,4:50:54,100,235,Suite 99,400,881-91-5725,shipment confirmed,   
236,293,19,3/10/2022,21:15:30,92,236,15th Floor,677,764-65-5628,shipment confirmed,   
237,942,2,26/02/2022,23:20:19,21,237,Apt 1622,22,146-58-0738,shipment confirmed,   
238,738,11,22/09/2022,3:15:51,45,238,Suite 12,326,387-17-7847,shipment confirmed,   
239,784,9,20/12/2022,1:25:46,100,239,PO Box 56854,629,369-80-4967,shipment confirmed,   
240,453,10,16/07/2022,3:23:53,40,240,Room 1824,777,749-36-2102,shipment confirmed,   
241,965,6,23/07/2022,23:46:50,98,241,Apt 59,619,255-11-3987,shipment confirmed,   
242,561,2,27/07/2022,21:59:11,65,242,Suite 14,11,466-63-4225,shipment confirmed,   
243,432,11,12/6/2022,1:04:53,12,243,Apt 611,391,791-59-8490,shipment confirmed,   
244,910,12,28/07/2022,11:37:00,16,244,Room 1570,281,368-78-1358,shipment confirmed,   
245,327,15,17/02/2022,12:42:47,75,245,PO Box 96036,784,138-96-9847,shipment confirmed,   
246,692,10,3/1/2023,2:30:22,77,246,Suite 12,980,206-14-6185,shipment confirmed,   
247,75,13,7/11/2022,19:19:05,3,247,Room 570,511,138-13-7894,shipment confirmed,   
248,559,16,11/2/2022,22:15:56,9,248,Apt 1288,696,621-40-2180,shipment confirmed,   
249,987,1,25/02/2022,0:58:16,49,249,PO Box 53549,724,683-62-2239,shipment confirmed,   
250,465,3,4/2/2022,17:29:00,64,250,Room 1801,760,455-61-4765,shipment confirmed,   
251,594,12,25/04/2022,22:47:50,72,251,Suite 53,618,166-90-1824,shipment confirmed,   
252,6,3,18/05/2022,1:01:34,43,252,Suite 76,782,221-94-4979,shipment confirmed,   
253,101,13,10/7/2022,4:48:00,65,253,Suite 20,976,531-85-9209,shipment confirmed,   
254,673,17,16/02/2022,12:44:52,100,254,4th Floor,223,727-89-4362,shipment confirmed,   
255,774,8,3/5/2022,4:45:03,58,255,Apt 46,346,109-32-9781,shipment confirmed,   
256,391,20,11/7/2022,17:39:20,36,256,PO Box 43761,284,421-05-1612,shipment confirmed,   
257,845,7,23/08/2022,5:06:20,11,257,Suite 6,918,577-14-6817,shipment confirmed,   
258,398,1,20/12/2022,18:25:23,34,258,17th Floor,580,263-70-1926,shipment confirmed,   
259,32,2,23/02/2022,15:22:58,85,259,Room 619,688,539-70-5694,shipment confirmed,   
260,519,11,8/11/2022,3:12:04,74,260,Apt 1978,415,588-42-6465,shipment confirmed,   
261,996,18,9/11/2022,13:33:21,25,261,Room 1869,591,395-87-5507,shipment confirmed,   
262,865,15,26/01/2023,4:43:22,5,262,Room 627,721,686-58-3527,shipment confirmed,   
263,34,19,7/4/2022,7:47:59,46,263,Apt 190,149,827-42-7189,shipment confirmed,   
264,514,10,23/08/2022,9:06:33,41,264,PO Box 93523,497,146-76-8403,shipment confirmed,   
265,270,5,2/11/2022,3:58:57,93,265,PO Box 86141,675,484-69-8960,shipment confirmed,   
266,509,9,1/1/2023,2:20:27,86,266,1st Floor,440,335-87-6781,shipment confirmed,   
267,676,4,28/08/2022,9:22:35,11,267,Suite 38,572,801-53-3559,shipment confirmed,   
268,9,16,1/8/2022,14:03:36,89,268,Apt 1813,611,400-92-1092,shipment confirmed,   
269,450,14,19/05/2022,12:44:45,63,269,Suite 27,679,276-35-1368,shipment confirmed,   
270,659,6,8/11/2022,16:24:41,22,270,Apt 712,68,355-67-6144,shipment confirmed,   
271,465,4,2/8/2022,17:08:40,52,271,Room 940,104,470-41-6273,shipment confirmed,   
272,322,7,14/11/2022,18:42:01,7,272,PO Box 67682,485,810-20-7098,shipment confirmed,   
273,719,3,10/3/2022,9:23:07,18,273,Room 1371,221,752-98-2129,shipment confirmed,   
274,442,20,28/11/2022,1:26:58,22,274,17th Floor,802,874-87-5195,shipment confirmed,   
275,963,11,31/12/2022,0:17:36,56,275,17th Floor,390,147-74-0046,shipment confirmed,   
276,711,5,6/1/2023,21:34:18,24,276,Suite 44,574,569-41-8620,shipment confirmed,   
277,931,10,1/9/2022,11:15:15,70,277,PO Box 36399,375,376-73-8365,shipment confirmed,   
278,626,1,26/01/2023,15:28:50,50,278,PO Box 69511,359,747-14-1093,shipment confirmed,   
279,878,18,21/08/2022,0:25:59,91,279,Suite 29,388,506-43-4707,shipment confirmed,   
280,725,16,18/10/2022,2:29:42,28,280,Apt 229,15,257-24-5529,shipment confirmed,   
281,473,17,21/02/2022,13:45:51,86,281,Room 500,350,897-53-8170,shipment confirmed,   
282,451,8,8/1/2023,17:47:44,62,282,Suite 11,128,322-11-4793,shipment confirmed,   
283,86,13,2/5/2022,12:09:05,46,283,PO Box 12402,244,753-50-0965,shipment confirmed,   
284,411,2,2/8/2022,5:38:23,30,284,Room 630,466,707-03-4297,shipment confirmed,   
285,654,9,1/8/2022,0:51:14,37,285,Room 443,730,154-82-5583,shipment confirmed,   
